"","ID","protect","g","b","m0","n","runtime","runtime_sd","rho_plus_ini","rho_plus","rho_plus_sd","q_plus_plus","clus_coef","largest_patch","best_model","class","largest_patch_sd","alpha","alpha_se","alpha_p","trunc","trunc_se","trunc_p","lower","lower_se","lower_p"
"173",173,0.5,0.4,0.38,0.05,9,500,0,0.868946909071464,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",174,0.5,0.4,0.4,0.05,9,500,0,0.848553556444434,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",175,0.5,0.4,0.42,0.05,9,500,0,0.845131119498466,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",176,0.5,0.4,0.44,0.05,9,500,0,0.834451264502584,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",177,0.5,0.4,0.46,0.05,9,500,0,0.863592251154801,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",178,0.5,0.4,0.48,0.05,9,500,0,0.852619554291272,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",179,0.5,0.4,0.5,0.05,9,500,0,0.846465460011839,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",180,0.5,0.4,0.52,0.05,9,500,0,0.838707914480215,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",181,0.5,0.4,0.54,0.05,9,500,0,0.860119683442948,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",182,0.5,0.4,0.56,0.05,9,500,0,0.851041004586861,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",183,0.5,0.4,0.58,0.05,9,500,0,0.839878176419168,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",184,0.5,0.4,0.6,0.05,9,521.688888888889,38.3597590074692,0.831747828669743,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",185,0.5,0.4,0.62,0.05,9,526.266666666667,43.2217537820945,0.836777995009389,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",186,0.5,0.4,0.64,0.05,9,665.533333333333,85.7617630415793,0.850082128513087,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",187,0.5,0.4,0.66,0.05,9,1261.75555555556,170.332785387247,0.84367538277422,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",188,0.5,0.4,0.68,0.05,8,1645.425,498.706514753059,0.84911837085383,0.238697669915042,0.00771941292640106,0.445179469400343,1.87013984656417,54.125,2,"DOWN",8.3055489196767,-0.674252676557376,0.0139335410131986,4.54098119265678e-127,0.0675089141290594,0.00178161454370947,3.32379096839905e-104,NA,NA,NA
"189",189,0.5,0.4,0.7,0.05,9,1428.26666666667,729.423546370694,0.839973284922437,0.316511794102949,0.00940341214244916,0.475675753801954,1.50393538291798,93.2222222222222,2,"DOWN",17.0497637650627,-0.758751766627124,0.00928893980703463,8.76321471974068e-232,0.0320407899912885,0.000874484360588503,1.66667118145632e-122,NA,NA,NA
"190",190,0.5,0.4,0.72,0.05,9,1364.33333333333,519.521173774467,0.843535517660591,0.35860292631462,0.00931410165580914,0.496000293875256,1.38375221587248,129.888888888889,2,"DOWN",23.6561009279025,-0.746927716543097,0.00787667790026749,2.41836105129547e-274,0.0224460397111407,0.000626473524204562,2.55297637646095e-126,NA,NA,NA
"191",191,0.5,0.4,0.74,0.05,9,1278.57777777778,489.370028142759,0.858847937761392,0.395193153423288,0.00809318226902363,0.514851830984371,1.30315146963063,160.666666666667,2,"DOWN",34.7275107083707,-0.691534785248267,0.00540340899365986,0,0.0152775362943428,0.000352534580333924,8.21868764097987e-167,NA,NA,NA
"192",192,0.5,0.4,0.76,0.05,9,1191.86666666667,627.628401205682,0.847886823006492,0.425713321117219,0.0081028460840427,0.531674846202177,1.24912942914886,236.777777777778,2,"DOWN",64.9784152195515,-0.745083920309397,0.00524457090578537,0,0.00793240175740352,0.000273302046766027,1.12645997472279e-105,NA,NA,NA
"193",193,0.5,0.4,0.78,0.05,9,1434.02222222222,709.429583852016,0.84649545010438,0.450277472374924,0.00759944679279219,0.546649821491048,1.21419468139532,386.333333333333,2,"DOWN",146.08815831545,-0.74341095306679,0.00466518283140363,0,0.00440893144164171,0.0001882836106781,1.52565205575321e-81,NA,NA,NA
"194",194,0.5,0.4,0.8,0.05,9,1794.15555555556,512.845734873342,0.853799097529716,0.473768065967016,0.00752821607748782,0.56086704820052,1.18397849465348,486.111111111111,2,"DOWN",206.919334792839,-0.719461370764621,0.00421957067142296,0,0.00305405734607715,0.000142577805205314,2.30055161506881e-72,NA,NA,NA
"195",195,0.5,0.4,0.82,0.05,9,1029.71111111111,550.980245663228,0.855204375385721,0.494153578766172,0.00653794664479657,0.57414534629953,1.16195976761116,631.666666666667,2,"DOWN",145.475943028392,-0.726482122580913,0.00335654024324028,0,0.00179246257595526,8.97531754909927e-05,4.88524433144531e-64,NA,NA,NA
