"","ID","assoc","g","b","m0","n","runtime","runtime_sd","rho_plus_ini","rho_plus","rho_plus_sd","q_plus_plus","clus_coef","largest_patch","best_model","class","largest_patch_sd","alpha","alpha_se","alpha_p","trunc","trunc_se","trunc_p","lower","lower_se","lower_p","mean_p_largest","predict_largest","mismatch_PL"
"2700",2700,TRUE,0.01,0.94,0.05,10,812.28,253.922948943178,0.834851862420328,0.922732408795602,0.00273541709463954,0.924762951588456,1.00220099446663,9245.3,5,"COV",22.3012206940437,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"2701",2701,TRUE,0.01,0.96,0.05,10,632.56,113.496384670761,0.844406849909574,0.92488083958021,0.0027835579519474,0.926810084153869,1.00208639437314,9236.7,5,"COV",25.6603888426414,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.666666666666667,NA,NA
"2702",2702,TRUE,0.01,0.98,0.05,10,708.9,409.40584862565,0.848376064682379,0.926663598200899,0.00271699056856612,0.928504208238709,1.00198672301989,9258.7,5,"COV",27.3132039700785,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.769230769230769,NA,NA
"2703",2703,TRUE,0.01,1,0.05,10,599.48,136.110745759147,0.829254576922394,0.928677366316842,0.00267155204032889,0.930390889142946,1.00184552625107,9293.8,5,"COV",24.9702044667462,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
"2704",2704,TRUE,0.02,0,0.05,10,500,0,0.850429420606233,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2705",2705,TRUE,0.02,0.02,0.05,10,500,0,0.856161019615829,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2706",2706,TRUE,0.02,0.04,0.05,10,500,0,0.847699274187908,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2707",2707,TRUE,0.02,0.06,0.05,10,500,0,0.856264577310067,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2708",2708,TRUE,0.02,0.08,0.05,10,500,0,0.849115184827242,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2709",2709,TRUE,0.02,0.1,0.05,10,508.42,26.6263778986178,0.845029165782034,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2710",2710,TRUE,0.02,0.12,0.05,10,566.2,87.3815134275488,0.850626212500502,0,NA,0,NA,NA,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2711",2711,TRUE,0.02,0.14,0.05,10,1030.46,285.154726810239,0.863627565817442,7.69765117441279e-05,NA,0.0280979904813431,NA,2,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA
"2712",2712,TRUE,0.02,0.16,0.05,8,3519.95,529.875001432278,0.845432666852139,0.00077761744127936,NA,0.0503613961385456,NA,28,1,"DEG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.615384615384615,NA,NA
